sample_id,hole_id,from_depth,to_depth,lithology,Au_ppm,Cu_pct,Ag_ppm,Fe_pct,S_pct,sample_quality,assay_date
ASY-0027,DH-01,270,271,Basalt,2.834,2.776,3.47,8.45,0.79,Rejected,2024-03-10
ASY-0028,DH-03,121,124,Quartzite,3.611,1.734,12.06,3.62,3.28,Rejected,2024-02-27
ASY-0029,DH-02,211,215,Gneiss,2.35,2.106,6.34,3.42,3.69,Fair,2024-07-19
ASY-0030,DH-01,408,409,Basalt,2.909,0.149,2.58,10.83,0.64,Fair,2024-10-28
ASY-0031,DH-04,89,91,Schist,4.206,2.053,1.88,7.15,2.41,Rejected,2024-11-18
ASY-0032,DH-04,33,37,Schist,0.609,2.142,1.31,7.94,3.65,Rejected,2024-05-25
ASY-0033,DH-02,335,339,Quartzite,5.208,1.764,5.15,7.4,3.93,Fair,2024-03-16
ASY-0034,DH-04,351,355,Gneiss,1.932,2.451,10.12,6.07,4.22,Rejected,2024-11-11
ASY-0035,DH-04,179,182,Gneiss,0.228,1.812,4.59,11.91,3.7,Fair,2024-03-20
ASY-0036,DH-03,63,64,Basalt,1.858,2.182,5.27,6.3,2.79,Rejected,2024-05-01
ASY-0037,DH-04,296,298,Basalt,3.736,1.465,11.81,7.37,3.22,Rejected,2024-02-04
ASY-0038,DH-02,350,354,Quartzite,5.238,2.834,1.73,11.92,2.47,Fair,2024-05-05
ASY-0039,DH-02,70,73,Granite,3.114,1.853,12.71,11.0,2.37,Rejected,2024-05-28
ASY-0040,DH-05,234,235,Quartzite,0.365,0.874,9.61,5.38,3.45,Fair,2024-01-20
ASY-0041,DH-05,194,198,Quartzite,5.136,2.056,6.04,7.56,3.06,Fair,2024-11-07
ASY-0042,DH-01,11,13,Schist,0.68,2.456,1.36,7.07,2.69,Fair,2024-02-21
ASY-0043,DH-03,393,397,Schist,0.369,1.162,12.77,3.27,0.25,Good,2024-02-03
ASY-0044,DH-02,171,175,Quartzite,0.158,2.026,3.7,8.36,4.47,Good,2024-12-18
ASY-0045,DH-05,103,107,Granite,3.376,2.789,13.04,5.9,1.08,Fair,2024-07-17
ASY-0046,DH-02,165,168,Gneiss,4.78,0.665,12.92,4.83,0.7,Good,2024-03-28
ASY-0047,DH-04,163,166,Quartzite,5.462,1.955,7.44,4.44,2.34,Good,2024-12-21
ASY-0048,DH-05,17,20,Gneiss,2.285,2.396,13.88,7.83,3.98,Rejected,2024-04-19
ASY-0049,DH-04,67,71,Gneiss,2.5,0.776,14.6,6.13,2.23,Rejected,2024-04-07
ASY-0050,DH-03,267,271,Basalt,4.445,1.436,5.24,10.74,0.34,Fair,2024-01-05
ASY-0051,DH-05,153,156,Gneiss,1.764,2.828,9.9,7.11,0.93,Good,2024-07-24
ASY-0052,DH-03,214,217,Granite,2.661,0.5,13.2,7.25,2.57,Rejected,2024-04-04
ASY-0053,DH-01,175,178,Quartzite,4.761,0.817,5.19,4.49,1.8,Rejected,2024-08-02
ASY-0054,DH-01,289,292,Gneiss,5.886,1.706,10.74,9.44,1.6,Fair,2024-03-19
ASY-0055,DH-02,194,197,Granite,5.006,0.811,12.37,4.95,2.82,Rejected,2024-09-14
ASY-0056,DH-02,43,46,Gneiss,,1.726,5.38,7.82,2.32,Fair,2024-07-27
ASY-0057,DH-03,336,340,Gneiss,2.736,2.372,14.81,8.2,2.64,Fair,2024-07-20
ASY-0058,DH-05,304,307,Basalt,5.993,1.319,2.23,4.3,4.04,Fair,2024-10-14
ASY-0059,DH-01,33,35,Basalt,1.785,1.966,10.42,9.69,0.39,Rejected,2024-11-06
ASY-0060,DH-03,122,125,Schist,3.21,0.889,3.61,7.79,1.22,Good,2024-03-21
ASY-0061,DH-03,216,217,Quartzite,4.974,0.545,12.18,4.56,1.68,Good,2024-02-08
ASY-0062,DH-01,16,20,Gneiss,5.85,1.447,7.21,9.01,2.8,Good,2024-10-22
ASY-0063,DH-03,383,387,Quartzite,,2.694,3.84,3.14,3.15,Good,2024-05-06
ASY-0064,DH-02,338,341,Quartzite,2.077,1.931,13.37,6.21,1.92,Fair,2024-06-08
ASY-0065,DH-02,51,52,Granite,0.777,2.104,5.56,3.54,3.07,Good,2024-11-08
ASY-0066,DH-04,423,424,Basalt,4.296,1.604,6.63,3.64,4.27,Rejected,2024-08-18
ASY-0067,DH-05,317,319,Granite,5.302,0.539,,8.87,1.16,Fair,2024-04-04
ASY-0068,DH-02,108,111,Quartzite,1.032,1.064,,6.26,1.08,Fair,2024-06-09
ASY-0069,DH-03,68,69,Schist,4.358,2.891,4.65,4.87,0.44,Rejected,2024-04-08
ASY-0070,DH-05,92,95,Granite,2.77,1.202,2.07,4.42,1.11,Rejected,2024-07-23
ASY-0071,DH-03,178,181,Schist,3.599,2.221,14.34,7.39,2.4,Rejected,2024-05-18
ASY-0072,DH-04,62,63,Granite,3.55,1.58,12.11,5.48,1.44,Fair,2024-06-01
ASY-0073,DH-02,417,420,Schist,4.98,,8.61,8.16,3.0,Good,2024-08-16
ASY-0074,DH-01,62,66,Basalt,5.862,1.936,12.51,6.09,3.69,Fair,2024-06-24
ASY-0075,DH-05,418,419,Quartzite,,1.644,12.74,7.9,4.3,Fair,2024-01-03
ASY-0076,DH-02,120,124,Granite,2.555,1.33,11.98,4.46,3.11,Rejected,2024-02-08
ASY-0077,DH-03,221,222,Schist,,0.559,7.29,9.86,2.68,Rejected,2024-10-20
ASY-0078,DH-04,241,245,Schist,1.969,0.594,7.79,6.34,1.82,Fair,2024-06-23
ASY-0079,DH-03,357,361,Quartzite,1.77,1.757,4.35,3.85,3.32,Good,2024-04-25
ASY-0080,DH-02,200,204,Quartzite,3.817,2.845,2.57,11.72,3.83,Good,2024-03-25
ASY-0081,DH-01,226,228,Schist,1.568,1.75,8.99,4.97,4.09,Fair,2024-04-14
ASY-0082,DH-01,165,167,Quartzite,1.434,0.23,12.77,3.01,0.47,Fair,2024-05-28
ASY-0083,DH-01,92,94,Schist,1.309,2.562,3.88,9.46,0.85,Fair,2024-03-15
ASY-0084,DH-03,171,173,Granite,4.868,1.937,8.16,8.7,1.15,Rejected,2024-10-28
ASY-0085,DH-02,289,290,Basalt,3.564,2.04,11.39,7.63,4.35,Good,2024-06-04
ASY-0086,DH-03,22,24,Granite,4.653,0.54,13.59,7.81,3.8,Rejected,2024-06-12
ASY-0087,DH-05,181,183,Basalt,0.657,1.332,11.94,3.46,1.64,Good,2024-07-04
ASY-0088,DH-02,336,339,Basalt,1.388,0.606,,9.79,3.6,Good,2024-05-08
ASY-0089,DH-05,308,312,Schist,2.029,0.729,7.65,10.52,3.28,Fair,2024-11-09
ASY-0090,DH-03,416,420,Granite,1.614,0.889,11.71,8.11,1.25,Rejected,2024-10-14
ASY-0091,DH-04,38,41,Basalt,3.809,1.905,7.18,4.24,2.55,Rejected,2024-10-28
ASY-0092,DH-03,433,437,Basalt,,0.746,12.17,8.9,2.93,Fair,2024-08-05
ASY-0093,DH-05,153,155,Gneiss,,2.625,6.62,9.94,1.95,Fair,2024-12-13
ASY-0094,DH-01,44,46,Quartzite,3.458,0.747,8.95,8.55,2.54,Good,2024-07-11
ASY-0095,DH-01,227,231,Granite,2.388,2.573,,11.71,1.93,Rejected,2024-11-28
ASY-0096,DH-04,105,107,Quartzite,4.464,,3.2,11.32,0.33,Fair,2024-05-02
ASY-0097,DH-03,184,188,Quartzite,,0.833,2.5,10.86,2.5,Fair,2024-05-25
ASY-0098,DH-02,342,343,Quartzite,4.459,2.662,3.32,7.98,4.09,Rejected,2024-03-07
ASY-0099,DH-01,364,366,Quartzite,3.286,,7.28,6.56,3.01,Fair,2024-10-14
ASY-0100,DH-01,95,96,Gneiss,3.829,,5.33,8.33,2.12,Fair,2024-04-05
ASY-0101,DH-02,29,33,Schist,3.63,2.543,2.86,10.9,0.66,Rejected,2024-11-17
ASY-0102,DH-04,308,312,Quartzite,5.618,2.389,3.39,7.6,3.53,Good,2024-09-13
ASY-0103,DH-04,414,418,Schist,5.673,1.617,2.68,9.66,2.47,Fair,2024-07-09
ASY-0104,DH-03,75,77,Gneiss,5.973,0.975,12.96,4.98,4.02,Good,2024-09-07
ASY-0105,DH-03,232,233,Gneiss,4.395,1.43,13.04,9.44,3.14,Fair,2024-12-01
ASY-0106,DH-03,138,142,Quartzite,,1.019,6.71,11.22,3.32,Fair,2024-10-04
ASY-0107,DH-05,383,385,Basalt,1.623,,,11.42,4.09,Fair,2024-12-11
ASY-0108,DH-02,153,155,Gneiss,1.62,1.284,13.86,8.5,2.81,Fair,2024-09-28
ASY-0109,DH-01,386,388,Quartzite,0.147,2.041,4.2,10.8,1.77,Good,2024-01-18
ASY-0110,DH-02,236,238,Granite,2.344,2.236,7.3,11.22,0.82,Rejected,2024-07-05
ASY-0111,DH-05,305,309,Quartzite,3.383,1.94,,5.13,0.42,Good,2024-12-18
ASY-0112,DH-01,382,383,Schist,5.096,0.605,14.92,7.33,3.62,Rejected,2024-07-04
ASY-0113,DH-01,267,271,Gneiss,3.317,2.39,12.66,4.61,3.79,Fair,2024-09-15
ASY-0114,DH-01,30,34,Schist,2.924,,8.09,7.1,1.67,Good,2024-08-25
ASY-0115,DH-04,406,408,Basalt,4.007,1.574,12.66,10.94,1.59,Rejected,2024-03-04
ASY-0116,DH-04,316,319,Gneiss,4.511,0.303,13.84,5.76,2.2,Fair,2024-04-19
ASY-0117,DH-05,295,296,Quartzite,1.387,,13.59,7.96,2.38,Fair,2024-02-03
ASY-0118,DH-01,399,403,Gneiss,1.833,2.472,1.85,9.44,1.91,Good,2024-11-04
ASY-0119,DH-03,83,87,Schist,1.733,0.995,12.68,11.51,3.38,Fair,2024-05-04
ASY-0120,DH-03,201,203,Schist,2.571,1.598,3.54,6.68,2.31,Good,2024-05-11
ASY-0121,DH-03,216,217,Schist,0.682,2.837,9.7,10.36,0.35,Rejected,2024-01-04
ASY-0122,DH-04,89,90,Granite,3.718,0.693,7.17,5.48,1.97,Fair,2024-09-09
ASY-0123,DH-04,389,390,Gneiss,2.042,0.612,4.01,4.13,2.67,Rejected,2024-05-26
ASY-0124,DH-04,293,295,Gneiss,3.402,0.105,,8.27,3.19,Good,2024-08-01
ASY-0125,DH-02,362,366,Quartzite,5.613,0.303,12.51,7.29,3.58,Rejected,2024-06-01
ASY-0126,DH-05,73,74,Schist,5.306,0.149,13.37,3.82,0.78,Rejected,2024-11-01
ASY-0127,DH-02,217,219,Quartzite,2.961,0.981,10.68,7.08,3.49,Rejected,2024-10-07
ASY-0128,DH-03,343,345,Schist,4.587,2.034,2.47,7.22,3.46,Good,2024-09-11
ASY-0129,DH-04,101,102,Granite,4.891,0.698,14.1,5.21,4.34,Fair,2024-09-26
ASY-0130,DH-03,32,34,Basalt,3.773,2.839,13.23,7.97,3.3,Fair,2024-11-27
ASY-0131,DH-02,371,375,Gneiss,1.786,0.931,7.26,5.06,0.77,Fair,2024-10-15
ASY-0132,DH-04,126,128,Granite,,1.658,13.67,6.03,0.97,Fair,2024-05-14
ASY-0133,DH-04,97,101,Basalt,1.663,1.295,14.71,5.01,3.12,Good,2024-07-05
ASY-0134,DH-05,277,278,Schist,1.179,1.497,5.61,5.65,0.58,Fair,2024-05-09
ASY-0135,DH-02,291,294,Schist,5.057,0.275,5.3,10.3,2.9,Fair,2024-03-11
ASY-0136,DH-04,424,428,Gneiss,5.804,0.813,7.79,11.02,4.09,Rejected,2024-08-06
ASY-0137,DH-05,246,249,Schist,0.243,2.936,14.17,5.52,0.57,Fair,2024-07-26
ASY-0138,DH-04,63,64,Gneiss,1.158,1.819,6.61,5.69,4.12,Rejected,2024-07-03
ASY-0139,DH-05,152,154,Quartzite,0.106,2.166,5.72,8.29,2.95,Rejected,2024-10-08
ASY-0140,DH-03,179,181,Granite,3.472,0.714,14.09,10.37,1.39,Rejected,2024-10-09
ASY-0141,DH-01,135,139,Quartzite,,2.927,12.13,7.08,2.7,Good,2024-08-08
ASY-0142,DH-03,246,249,Granite,0.498,1.916,,7.78,2.19,Rejected,2024-01-28
ASY-0143,DH-05,292,295,Schist,0.21,1.992,6.92,4.92,2.02,Rejected,2024-02-23
ASY-0144,DH-03,207,211,Schist,5.429,1.862,10.22,10.46,0.84,Rejected,2024-04-16
ASY-0145,DH-03,139,143,Basalt,2.594,2.817,3.72,3.03,0.68,Good,2024-10-09
ASY-0146,DH-01,202,204,Schist,4.423,1.573,5.56,4.71,1.4,Rejected,2024-04-12
ASY-0147,DH-01,421,422,Schist,0.988,1.49,8.04,8.35,1.44,Fair,2024-03-28
ASY-0148,DH-01,263,265,Schist,2.743,0.834,4.31,5.68,3.63,Rejected,2024-04-08
ASY-0149,DH-01,383,385,Granite,0.504,2.896,14.65,5.52,2.81,Fair,2024-04-27
ASY-0150,DH-04,340,342,Schist,2.953,1.782,4.03,3.38,3.98,Fair,2024-01-10
ASY-0151,DH-05,99,101,Basalt,2.369,1.582,2.1,10.03,3.32,Good,2024-07-17
ASY-0152,DH-01,442,446,Basalt,0.019,2.828,8.7,9.19,3.55,Fair,2024-08-24
ASY-0153,DH-01,348,351,Schist,5.756,0.493,11.91,6.9,3.02,Fair,2024-12-16
ASY-0154,DH-05,56,60,Schist,1.039,1.182,8.26,5.24,3.55,Good,2024-05-13
ASY-0155,DH-03,193,196,Gneiss,2.311,1.471,4.54,8.23,0.27,Rejected,2024-09-19
ASY-0156,DH-01,169,173,Basalt,1.627,0.431,10.11,4.65,0.36,Fair,2024-07-07
ASY-0157,DH-02,155,158,Gneiss,2.081,2.943,5.94,6.68,2.74,Fair,2024-08-11
ASY-0158,DH-02,210,213,Gneiss,1.427,1.391,14.26,3.47,0.95,Rejected,2024-02-03
ASY-0159,DH-02,353,357,Basalt,5.624,0.21,7.49,7.01,3.49,Rejected,2024-02-21
ASY-0160,DH-02,265,268,Granite,5.801,0.689,3.72,6.94,4.0,Rejected,2024-08-14
ASY-0161,DH-03,289,291,Granite,3.837,2.45,,11.1,2.84,Good,2024-10-05
ASY-0162,DH-02,120,123,Schist,0.978,2.611,9.59,8.4,1.48,Fair,2024-08-10
ASY-0163,DH-01,372,375,Granite,4.664,1.144,8.91,3.86,4.21,Good,2024-06-28
ASY-0164,DH-02,161,163,Granite,,1.331,4.09,11.16,0.62,Rejected,2024-06-15
ASY-0165,DH-04,333,336,Basalt,3.101,1.751,2.32,11.34,3.24,Rejected,2024-07-26
ASY-0166,DH-03,37,41,Gneiss,,2.29,13.13,7.42,0.35,Fair,2024-03-07
ASY-0167,DH-01,346,349,Quartzite,1.588,2.998,7.09,7.71,2.69,Rejected,2024-02-21
ASY-0168,DH-02,331,332,Gneiss,3.837,1.774,2.93,4.16,1.04,Fair,2024-02-01
ASY-0169,DH-01,46,48,Quartzite,4.649,2.517,11.6,9.0,3.94,Good,2024-06-26
ASY-0170,DH-05,434,435,Gneiss,0.892,1.489,8.41,4.23,2.6,Rejected,2024-05-05
ASY-0171,DH-02,358,362,Granite,4.493,0.583,14.34,9.55,3.72,Rejected,2024-07-23
ASY-0172,DH-02,212,216,Granite,1.381,0.574,5.18,6.62,3.77,Rejected,2024-05-04
ASY-0173,DH-02,441,442,Schist,2.556,,7.03,10.94,2.1,Fair,2024-11-13
ASY-0174,DH-01,46,47,Schist,2.657,0.588,1.94,4.68,1.5,Good,2024-05-07
ASY-0175,DH-05,302,304,Basalt,1.917,0.772,9.8,7.8,2.84,Good,2024-08-24
ASY-0176,DH-03,376,379,Gneiss,2.498,2.129,11.51,7.56,2.49,Fair,2024-06-17
ASY-0177,DH-02,229,231,Granite,5.417,2.601,12.44,11.29,4.05,Fair,2024-02-07
ASY-0178,DH-03,434,435,Basalt,1.142,1.38,14.09,8.8,2.19,Good,2024-12-22
ASY-0179,DH-01,380,382,Gneiss,4.062,2.665,4.11,3.51,3.06,Good,2024-09-10
ASY-0180,DH-03,355,356,Gneiss,0.724,1.947,6.22,8.31,1.93,Rejected,2024-05-23
ASY-0181,DH-01,46,49,Gneiss,4.629,2.537,1.15,7.87,0.94,Good,2024-01-17
ASY-0182,DH-05,399,403,Schist,1.386,2.268,9.02,10.88,2.73,Fair,2024-01-09
ASY-0183,DH-03,92,95,Basalt,0.798,2.399,7.22,7.97,0.49,Good,2024-05-06
ASY-0184,DH-01,94,97,Quartzite,4.444,1.761,9.25,11.26,0.72,Fair,2024-05-22
ASY-0185,DH-04,285,287,Basalt,1.219,2.371,4.37,4.66,3.95,Good,2024-10-03
ASY-0186,DH-04,123,124,Basalt,0.282,0.429,4.18,5.86,3.93,Fair,2024-10-21
ASY-0187,DH-03,186,190,Schist,0.825,1.173,14.78,5.14,0.92,Fair,2024-06-18
ASY-0188,DH-05,197,201,Granite,4.262,2.93,2.62,6.83,2.0,Good,2024-02-11
ASY-0189,DH-05,393,396,Gneiss,4.121,1.735,6.52,6.21,0.68,Rejected,2024-07-21
ASY-0190,DH-03,365,368,Quartzite,4.497,1.584,5.15,6.3,0.27,Fair,2024-11-11
ASY-0191,DH-05,166,170,Gneiss,2.532,1.821,6.39,3.66,1.89,Rejected,2024-06-09
ASY-0192,DH-04,426,429,Quartzite,3.138,,14.46,11.0,0.61,Rejected,2024-11-02
ASY-0193,DH-02,106,110,Gneiss,4.445,1.969,14.43,5.85,2.59,Fair,2024-04-07
ASY-0194,DH-04,69,70,Quartzite,4.547,0.522,1.3,8.37,0.39,Rejected,2024-01-15
ASY-0195,DH-04,91,94,Gneiss,0.949,1.291,14.03,5.88,2.77,Good,2024-10-03
ASY-0196,DH-05,264,267,Quartzite,1.158,2.613,,9.11,2.28,Fair,2024-12-22
ASY-0197,DH-05,358,360,Basalt,3.866,2.667,6.34,7.69,1.11,Fair,2024-07-21
ASY-0198,DH-02,210,214,Gneiss,4.207,0.752,14.54,4.16,4.27,Rejected,2024-10-20
ASY-0199,DH-02,379,382,Schist,2.568,2.787,2.99,6.48,4.08,Fair,2024-01-06
ASY-0200,DH-05,91,94,Granite,5.28,1.363,8.05,5.99,1.42,Rejected,2024-06-02
ASY-0201,DH-04,193,197,Gneiss,1.493,0.492,8.15,3.71,0.85,Good,2024-02-27
ASY-0202,DH-01,72,76,Basalt,2.437,2.672,12.85,11.04,1.96,Rejected,2024-08-21
ASY-0203,DH-05,40,44,Quartzite,1.016,0.899,7.34,4.41,1.85,Good,2024-04-03
ASY-0204,DH-01,449,453,Gneiss,0.377,2.467,1.29,5.65,0.85,Fair,2024-11-24
ASY-0205,DH-03,149,150,Basalt,3.498,0.994,14.74,11.47,4.09,Rejected,2024-05-21
ASY-0206,DH-05,260,263,Schist,4.434,0.212,14.95,11.55,1.6,Good,2024-01-18
ASY-0207,DH-03,25,28,Gneiss,2.935,1.193,3.83,11.83,0.3,Fair,2024-05-24
ASY-0208,DH-03,97,99,Granite,,1.589,13.71,10.1,3.8,Fair,2024-04-23
ASY-0209,DH-04,176,178,Gneiss,4.293,2.765,13.42,3.37,3.18,Fair,2024-07-22
ASY-0210,DH-01,49,50,Granite,4.903,0.705,12.54,8.52,0.3,Rejected,2024-12-17
ASY-0211,DH-02,102,106,Quartzite,5.738,1.216,11.98,5.82,4.43,Good,2024-02-17
ASY-0212,DH-02,238,241,Basalt,1.49,0.309,9.76,4.84,0.6,Rejected,2024-11-04
ASY-0213,DH-04,310,313,Quartzite,2.597,2.511,6.56,9.49,1.09,Fair,2024-07-02
ASY-0214,DH-04,316,320,Gneiss,2.176,1.793,1.71,11.45,3.17,Fair,2024-09-04
ASY-0215,DH-03,176,178,Basalt,0.186,2.767,7.65,5.99,0.31,Good,2024-05-05
ASY-0216,DH-03,76,77,Basalt,4.701,0.19,8.17,8.04,2.61,Rejected,2024-04-03
ASY-0217,DH-03,151,155,Granite,2.479,0.867,6.54,3.65,1.14,Good,2024-04-22
ASY-0218,DH-02,288,292,Granite,2.326,0.316,4.43,6.87,0.63,Good,2024-12-21
ASY-0219,DH-05,78,81,Quartzite,2.453,1.779,9.48,5.6,3.71,Rejected,2024-02-20
ASY-0220,DH-05,339,340,Schist,3.432,2.861,3.68,5.01,2.04,Good,2024-12-04
ASY-0221,DH-03,336,337,Quartzite,,2.534,10.19,5.22,3.28,Fair,2024-11-14
ASY-0222,DH-01,417,419,Basalt,1.14,1.847,9.33,5.48,4.0,Rejected,2024-11-25
ASY-0223,DH-02,412,416,Granite,3.997,1.875,2.46,6.23,2.46,Rejected,2024-12-24
ASY-0224,DH-02,248,250,Gneiss,3.53,,8.72,4.06,4.13,Rejected,2024-10-24
ASY-0225,DH-02,384,388,Schist,0.385,0.809,6.47,8.17,3.28,Rejected,2024-09-22
ASY-0226,DH-05,137,139,Gneiss,4.154,0.879,7.86,6.49,3.45,Fair,2024-07-21
ASY-0227,DH-05,135,139,Gneiss,1.595,,13.56,4.09,3.56,Good,2024-06-07
ASY-0228,DH-05,43,44,Gneiss,5.83,1.814,12.33,11.39,0.47,Rejected,2024-08-26
ASY-0229,DH-05,337,340,Granite,4.925,0.126,8.91,11.08,1.72,Fair,2024-09-14
ASY-0230,DH-01,129,131,Quartzite,0.047,1.526,,9.8,0.8,Good,2024-06-03
ASY-0231,DH-03,285,289,Schist,5.479,1.136,4.17,7.02,0.54,Rejected,2024-10-19
ASY-0232,DH-02,13,16,Gneiss,4.329,1.785,10.85,5.94,2.12,Rejected,2024-04-14
ASY-0233,DH-02,174,178,Schist,3.129,0.268,4.14,5.55,3.94,Rejected,2024-01-19
ASY-0234,DH-01,38,40,Quartzite,1.291,0.889,13.28,5.79,0.22,Good,2024-09-23
ASY-0235,DH-03,428,432,Schist,0.61,1.864,13.66,3.9,1.55,Rejected,2024-06-21
ASY-0236,DH-01,122,123,Gneiss,5.164,2.735,13.36,4.59,0.54,Good,2024-11-04
ASY-0237,DH-05,300,304,Gneiss,5.653,2.574,,4.25,1.78,Good,2024-05-17
ASY-0238,DH-05,436,438,Basalt,1.714,2.117,5.7,5.79,2.07,Rejected,2024-08-25
ASY-0239,DH-03,275,276,Gneiss,0.474,1.434,6.68,7.93,3.94,Rejected,2024-10-10
ASY-0240,DH-04,108,110,Schist,0.646,1.523,8.78,4.03,3.13,Fair,2024-11-21
ASY-0241,DH-02,70,74,Basalt,4.489,2.072,7.81,8.81,3.54,Good,2024-02-19
ASY-0242,DH-05,168,172,Schist,,1.305,2.84,7.73,3.02,Fair,2024-01-23
ASY-0243,DH-01,60,62,Quartzite,3.858,,12.07,10.97,4.33,Rejected,2024-10-26
ASY-0244,DH-02,280,281,Quartzite,5.511,,12.13,7.12,0.79,Good,2024-11-28
ASY-0245,DH-04,363,364,Gneiss,0.814,1.784,12.66,7.49,2.52,Fair,2024-07-14
ASY-0246,DH-05,107,109,Schist,,1.023,12.88,11.89,1.09,Rejected,2024-11-28
ASY-0247,DH-01,45,47,Quartzite,3.227,2.015,2.09,3.74,3.57,Fair,2024-07-06
ASY-0248,DH-04,418,420,Granite,5.049,2.806,2.03,9.71,4.49,Good,2024-02-14
ASY-0249,DH-04,353,357,Schist,2.835,2.981,7.9,8.32,0.51,Fair,2024-07-13
ASY-0250,DH-04,161,162,Gneiss,3.28,2.439,6.88,9.81,1.34,Good,2024-07-26
ASY-0251,DH-05,286,290,Granite,0.174,1.448,10.45,7.22,0.66,Good,2024-02-12
ASY-0252,DH-05,97,100,Granite,1.69,1.929,3.08,7.41,3.77,Good,2024-10-06
ASY-0253,DH-01,409,410,Quartzite,3.911,1.483,,6.98,2.32,Good,2024-11-01
ASY-0254,DH-04,152,156,Granite,3.383,1.713,14.3,3.34,0.92,Rejected,2024-04-04
ASY-0255,DH-04,112,116,Basalt,4.413,1.185,6.04,5.51,3.45,Good,2024-09-28
ASY-0256,DH-04,208,211,Granite,2.527,2.436,,10.93,4.1,Good,2024-12-06
ASY-0257,DH-02,420,421,Quartzite,4.805,,5.0,3.13,1.63,Good,2024-01-05
ASY-0258,DH-05,39,43,Basalt,2.208,0.26,,4.09,3.83,Rejected,2024-05-13
ASY-0259,DH-04,288,289,Gneiss,3.61,2.081,2.34,11.42,1.88,Rejected,2024-12-24
ASY-0260,DH-03,409,413,Basalt,5.597,2.499,1.03,5.92,1.47,Fair,2024-09-19
ASY-0261,DH-04,178,181,Gneiss,1.868,0.618,8.41,3.52,0.95,Rejected,2024-06-23
ASY-0262,DH-02,103,105,Granite,0.073,1.232,11.08,11.22,1.44,Rejected,2024-07-09
ASY-0263,DH-04,79,83,Basalt,4.286,0.883,2.5,3.04,2.16,Fair,2024-08-25
ASY-0264,DH-05,370,372,Basalt,1.677,2.957,5.87,11.78,2.92,Good,2024-11-14
ASY-0265,DH-05,83,85,Granite,3.495,2.399,13.71,9.24,1.35,Fair,2024-11-23
ASY-0266,DH-03,309,310,Gneiss,4.118,2.315,11.37,9.42,1.67,Good,2024-05-16
ASY-0267,DH-02,227,228,Basalt,5.957,1.874,1.87,5.04,1.22,Rejected,2024-02-03
ASY-0268,DH-02,312,314,Granite,2.717,0.761,14.98,3.62,4.5,Fair,2024-05-10
ASY-0269,DH-04,32,33,Schist,4.005,0.98,9.52,8.78,0.55,Good,2024-11-04
